iter	Passed	Remaining
155	210	1139
156	211	1133
157	211	1127
158	212	1121
159	212	1115
160	212	1109
161	213	1103
162	213	1098
163	214	1092
164	214	1087
165	215	1081
166	215	1076
167	216	1070
168	216	1065
169	217	1060
170	217	1055
171	218	1050
172	218	1045
173	219	1040
174	219	1035
175	220	1030
176	220	1025
177	221	1020
178	221	1016
179	221	1011
180	222	1005
181	222	1000
182	223	996
183	223	991
184	224	987
185	224	982
186	225	978
187	225	974
188	225	969
189	226	965
190	226	961
191	227	956
192	227	952
193	228	948
194	228	944
195	229	940
196	229	936
197	230	932
198	230	928
199	231	924
200	231	920
201	232	917
202	232	913
203	233	909
204	233	905
205	234	902
206	234	898
207	235	894
208	235	891
209	235	887
210	236	884
211	236	880
212	237	877
213	237	873
214	238	870
215	238	866
216	239	863
217	239	860
218	240	856
219	240	853
220	241	850
221	241	846
222	242	843
223	242	840
224	243	837
225	243	834
226	244	830
227	244	827
228	245	825
229	245	822
230	246	819
231	246	816
232	247	813
233	247	810
234	248	807
235	248	804
236	248	801
237	249	798
238	249	795
239	250	792
240	250	789
241	251	787
242	251	784
243	252	781
244	252	778
245	253	776
246	253	773
247	254	770
248	254	767
249	255	765
250	255	762
251	255	759
252	256	757
253	256	754
254	257	751
255	257	749
256	258	747
257	258	744
258	259	743
259	260	741
260	260	738
261	261	736
262	261	733
263	262	731
264	262	729
265	263	726
266	263	724
267	264	721
268	264	719
269	265	717
270	265	714
271	266	712
272	266	710
273	267	707
274	267	705
275	268	703
276	268	701
277	269	698
278	269	696
279	270	694
280	270	692
281	271	690
282	271	688
283	272	685
284	272	683
285	273	681
286	273	679
287	273	677
288	274	675
289	274	673
290	275	671
291	275	669
292	276	666
293	276	664
294	277	662
295	277	660
296	278	658
297	278	656
298	279	654
299	279	652
300	280	650
301	280	648
302	281	646
303	281	644
304	282	642
305	282	640
306	283	638
307	283	636
308	283	635
309	284	633
310	284	631
311	285	629
312	285	627
313	286	625
314	286	623
315	287	622
316	287	620
317	288	618
318	288	616
319	289	614
320	289	613
321	290	611
322	290	609
323	291	607
324	291	605
325	292	604
326	292	602
327	293	600
328	293	598
329	294	597
330	294	595
331	295	593
332	295	591
333	295	590
334	296	588
335	296	586
336	297	585
337	297	583
338	298	581
339	298	580
340	299	578
341	299	576
342	300	575
343	300	573
344	301	572
345	301	570
346	302	569
347	302	567
348	303	566
349	303	564
350	304	562
351	304	561
352	305	559
353	305	558
354	306	556
355	306	554
356	307	553
357	307	551
358	308	550
359	308	548
360	309	547
361	309	545
362	310	544
363	310	542
364	311	541
365	311	539
366	312	538
367	312	536
368	312	535
369	313	533
370	313	532
371	314	530
372	314	529
373	315	528
374	316	526
375	316	525
376	317	524
377	317	522
378	318	521
379	318	519
380	319	518
381	319	517
382	320	515
383	320	514
384	321	513
385	321	511
386	322	510
387	322	509
388	323	507
389	323	506
390	324	505
391	325	504
392	325	503
393	326	501
394	326	500
395	327	499
396	327	497
397	328	496
398	328	495
399	329	493
400	329	492
401	330	491
402	330	490
403	331	488
404	331	487
405	332	486
406	332	484
407	333	483
408	333	482
409	334	480
410	334	479
411	335	478
412	335	477
413	336	475
414	336	474
415	337	473
416	337	471
417	338	470
418	338	469
419	338	468
420	339	466
421	339	465
422	340	464
423	340	463
424	341	461
425	341	460
426	342	459
427	342	458
428	343	456
429	343	455
430	344	454
431	344	453
432	345	452
433	345	450
434	346	449
435	346	448
436	347	447
437	347	446
438	348	444
439	348	443
440	349	442
441	349	441
442	350	440
443	350	438
444	350	437
445	351	436
446	351	435
447	352	434
448	352	433
449	353	431
450	353	430
451	354	429
452	354	428
453	355	427
454	355	426
455	356	425
456	356	423
457	357	422
458	357	421
459	358	420
460	358	419
461	359	418
462	359	417
463	360	416
464	360	414
465	361	413
466	361	412
467	362	411
468	362	410
469	363	409
470	363	408
471	364	407
472	364	406
473	364	405
474	365	403
475	365	402
476	366	401
477	366	400
478	367	399
479	367	398
480	368	397
481	368	396
482	369	395
483	369	394
484	370	393
485	370	392
486	371	391
487	371	390
488	372	388
489	372	387
490	373	386
491	373	385
492	374	384
493	374	383
494	375	382
495	375	381
496	376	380
497	376	379
498	377	378
499	377	377
500	377	376
